"model_type","best_params","val_r2","test_r2","val_test_r2_diff","test_rmse","test_mae","test_mape","feature_count","timestamp"
"Ridge","{'alpha': 2000.0}",3.562639369114606e-05,-0.00013773137313455308,0.00017335776682569914,0.8052673263431418,0.6438138635699617,41.473754144116896,25,"2025-05-06 21:14:55"
"RandomForest","{'max_depth': 3; 'min_samples_leaf': 20; 'min_samples_split': 20; 'n_estimators': 50}",-0.0006642606018256725,-0.00013709488497415379,0.0005271657168515187,0.8052670701068332,0.6438584122295219,41.47203505298679,25,"2025-05-06 21:15:59"
RandomForest,"{'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 50}",-0.0005749274091122469,-0.000979119097827219,0.00040419168871497213,0.8056059795020407,0.6441496173527382,41.486697907950614,27,2025-05-06 21:21:41
RandomForest,"{'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 50}",-0.00072130537320092,-0.00011096412463040828,0.0006103412485705118,0.8052565503599032,0.6438589945256207,41.47067304441477,27,2025-05-06 21:26:34
RandomForest,"{'max_depth': 4, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 10}",0.9930333817153043,0.9932678311531865,0.06629647633986478,0.0510738284539956,3.7156248520370747,2025-05-06 22:04:10
XGBoost,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 20, 'reg_lambda': 5.0}",0.8579319956979684,0.8583688582409836,0.3040831282830672,0.23613165913466264,16.43210230109695,2025-05-06 22:08:17
Ridge,{'alpha': 100.0},0.9851154914501327,0.9851241531708265,0.0985493570718323,0.07893024280424372,5.0657646713238265,2025-05-06 22:10:02
RandomForest,"{'max_depth': 4, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 10}",0.9930333817153043,0.9932678311531865,0.0662964763398648,0.051073828453995614,3.7156248520370756,2025-06-01 11:38:46
XGBoost,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 20, 'reg_lambda': 5.0}",0.8579319956979684,0.8583688582409836,0.3040831282830672,0.23613165913466264,16.43210230109695,2025-06-01 11:51:44
Ridge,{'alpha': 50.0},0.995776580139459,0.9957783151238722,0.05249958285795171,0.04204899897906326,2.697688731345169,2025-06-01 11:54:17
RandomForest,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 20}",0.8773196493123723,0.8786511865909599,0.2814690928009427,0.2012536354049929,14.765130093424064,1,0.05,2025-06-01 12:04:36
XGBoost,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 5.0, 'subsample': 0.8}",0.9993906178733856,0.9994358283533378,0.019191926620379624,0.007343487398890608,0.9040680083128758,2025-06-01 12:34:33
Ridge,{'alpha': 50.0},0.995776580139459,0.9957783151238722,0.05249958285795171,0.04204899897906326,2.697688731345169,2025-06-01 12:35:37
XGBoost,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 160, 'reg_lambda': 5.0, 'subsample': 0.9}",0.9994892788625979,0.9994879207138017,0.018284435245570684,0.006828390356405709,0.864421542005835,2025-06-01 12:42:39
RandomForest,"{'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 20}",0.7895566506690577,0.7982681506953535,0.3629110410898865,0.2649008303948947,19.364807278462138,2025-06-01 12:44:27
RandomForest,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 20}",0.7490906358174505,0.7519088452921212,0.40245616694023595,0.29353418781858387,21.9442267517835,2025-06-01 12:46:31
RandomForest,"{'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 10}",0.969167962278358,0.9705671067293429,0.13862112660945142,0.10946054810801113,7.782166029842492,2025-06-01 13:02:42
XGBoost,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 5.0, 'subsample': 0.8}",0.9993654029921352,0.9994293109427599,0.019302462568566083,0.007465899688568206,0.902185805803575,2025-06-01 13:05:23
RandomForest,"{'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 10}",0.969167962278358,0.9705671067293429,0.13862112660945142,0.1094605481080111,7.782166029842489,2025-06-01 13:57:51
Ridge,{'alpha': 50.0},0.995776580139459,0.9957783151238722,0.05249958285795171,0.04204899897906326,2.697688731345169,2025-06-01 14:03:50
XGBoost,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'reg_lambda': 5.0}",0.9994831599616967,0.9994644326315768,0.018699069697011902,0.007456643732185105,0.9295006282869299,2025-06-01 14:06:02
Ridge,{'alpha': 1000.0},0.6618566993861239,0.6621046025990673,0.46968218139253054,0.376184730812919,24.149653755114084,2025-06-01 14:08:03
RandomForest,"{'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 10}",0.969167962278358,0.9705671067293429,0.1386211266094514,0.10946054810801112,7.782166029842491,2025-06-01 14:08:17
RandomForest,"{'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 10}",0.969167962278358,0.9705671067293429,0.1386211266094514,0.10946054810801112,7.7821660298424895,2025-06-01 14:11:14
Ridge,{'alpha': 100.0},0.985117547688806,0.9851264598089428,0.09854171627939243,0.07892324271480917,5.064743237453665,2025-06-01 14:13:28
